계정명,당기금액
유동자산,16570953000000
현금및현금성자산,2975989000000
단기금융상품,436708000000
단기투자자산,1535518000000
매출채권,4931322000000
기타수취채권,69194000000
재고자산,6136318000000
당기법인세자산,202000000
기타유동자산,485672000000
기타금융자산,30000000
비유동자산,54602900000000
"종속기업, 관계기업 및 공동기업투자",1166244000000
장기매출채권,
장기투자자산,6139627000000
기타수취채권,75589000000
기타금융자산,353000000
유형자산,41230562000000
사용권자산,1707645000000
무형자산,3400278000000
투자부동산,209417000000
이연법인세자산,556194000000
종업원급여자산,61962000000
기타비유동자산,55029000000
자산총계,71173853000000
유동부채,9072360000000
매입채무,1046159000000
미지급금,2348909000000
기타지급채무,1367193000000
차입금,3114250000000
충당부채,13797000000
당기법인세부채,636649000000
리스부채,347464000000
기타유동부채,197395000000
기타금융부채,544000000
비유동부채,10192396000000
장기미지급금,272396000000
기타지급채무,29923000000
차입금,8137398000000
확정급여부채,2739000000
이연법인세부채,266640000000
리스부채,1296252000000
기타금융부채,88121000000
기타비유동부채,98927000000
부채총계,19264756000000
지배기업의 소유지분,51888541000000
자본금,3657652000000
자본잉여금,4143736000000
기타자본,-2503122000000
기타포괄손익누계액,-405453000000
이익잉여금,46995728000000
비지배지분,20556000000
자본총계,51909097000000
부채및자본총계,71173853000000
영업활동 현금흐름,12314571000000
영업으로부터 창출된 현금흐름,12916771000000
이자의 수취,40635000000
이자의 지급,288565000000
배당금의 수취,16365000000
법인세의 납부,370635000000
투자활동 현금흐름,-11840393000000
단기금융상품의 감소,913591000000
단기금융상품의 증가,1054401000000
단기투자자산의 순증감,-115122000000
기타금융자산의 감소,773000000
기타금융자산의 증가,205000000
기타수취채권의 감소,36722000000
기타수취채권의 증가,238727000000
장기투자자산의 처분,708000000
장기투자자산의 취득,93846000000
유형자산의 처분,59089000000
유형자산의 취득,10068662000000
무형자산의 처분,695000000
무형자산의 취득,800729000000
영업양도로 인한 현금 유입,2958000000
관계기업투자의 취득,483237000000
사업결합으로 인한 순현금유출,
종속기업투자의 취득,
정부보조금의 수취,
재무활동현금흐름,252054000000
차입금의 차입,5173016000000
차입금의 상환,3921310000000
리스부채의 상환,319740000000
배당금의 지급,684002000000
비지배지분의 증가,4090000000
자기주식의 취득,
현금및현금성자산의 환율변동효과,-56313000000
현금및현금성자산의 순증감,669919000000
기초현금및현금성자산,2306070000000
기말현금및현금성자산,2975989000000
